experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,l2,100,100,0.21075649,species_recall
6.01,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.01,0.01,l2,0.1,100,0.451009584,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,l2,1,100,0.876058435,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,l2,10,100,0.327254117,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,l2,100,100,0.404019726,species_recall
6.01,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.01,0.01,l2,0.1,100,0.939052759,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,l2,1,100,0.966688378,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,l2,10,100,0.236624174,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,l2,100,100,0.236624174,species_recall
6.01,multiclass,Logistic Regression,"(21817, 46691)",100,400,6,0.01,0.01,l2,0.1,100,0.967525821,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,0.1,100,0.884443617,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,0.5,100,0.879233346,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,1,100,0.683475996,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,3,100,0.388909565,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,6,100,0.421845925,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,10,100,0.24339412,species_recall
6.02,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.01,0.01,l2,0,100,0.882582806,species_recall
