experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,20,30,0.601934524
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,25,40,0.601600298
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,20,40,0.600446429
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,15,45,0.600446429
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,25,30,0.599925568
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,25,45,0.599702381
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,20,25,0.599702381
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,20,35,0.599702381
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,25,35,0.598214286
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,10,40,0.597470238
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,10,25,0.596948269
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,25,40,0.59672619
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,25,25,0.59545962
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,25,40,0.595238095
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,25,45,0.59375
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,10,30,0.593005952
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,15,40,0.592261905
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,15,30,0.592261905
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,20,20,0.59077381
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,15,35,0.589285714
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,20,35,0.589285714
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,15,25,0.589285714
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,15,40,0.589285714
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,25,35,0.589285714
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,25,25,0.588388537
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,25,35,0.588388537
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,20,25,0.587797619
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,25,30,0.587085969
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,20,30,0.587053571
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,15,30,0.586309524
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,15,20,0.586309524
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,15,35,0.585565476
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,20,40,0.585039077
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,20,40,0.584628268
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,20,45,0.584349121
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,20,45,0.584108671
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,10,40,0.58392259
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,10,45,0.583550428
